,Unnamed: 0,date,type,pt_time,demand,fk_temp,fk_q_temp,fk_precipit,fk_ni_precipit,fk_q_precipit,fk_suntime,fk_ni_suntime,fk_q_suntime,fk_windspeed,fk_q_windspeed,fk_windroot,fk_q_windroot,fk_humidity,fk_q_humidity,fk_sunpower,fk_q_sunpower,fk_weather,fk_q_weather,fk_seaatom,fk_q_seaatom,kg_temp,kg_q_temp,kg_precipit,kg_ni_precipit,kg_q_precipit,kg_suntime,kg_ni_suntime,kg_q_suntime,kg_windspeed,kg_q_windspeed,kg_windroot,kg_q_windroot,kg_humidity,kg_q_humidity,kg_sunpower,kg_q_sunpower,kg_weather,kg_q_weather,kg_seaatom,kg_q_seaatom,km_temp,km_q_temp,km_precipit,km_ni_precipit,km_q_precipit,km_suntime,km_ni_suntime,km_q_suntime,km_windspeed,km_q_windspeed,km_windroot,km_q_windroot,km_humidity,km_q_humidity,km_sunpower,km_q_sunpower,km_weather,km_q_weather,km_seaatom,km_q_seaatom
168,168,2020-01-08,2,00:00:00,827,16.7,8,0.0,8,1,0,1,18.5,8,1,0.0,1.0,1,82,1,7.4,ìÏêº,8,1007.7,8,19.0,8,0.0,8,1,0,1,2.0,8,1,0.0,1.0,1,91.0,1,5.5,ìÏìÏêº,8,1011.8,8,17.5,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,84.0,1,3.5,ìÏìÏêº,8,1008.0,8
336,336,2020-01-15,2,00:00:00,1002,4.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,91,1,1.7,ìÏìå,8,1024.7,8,6.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,85.0,1,3.0,ñkêº,8,1023.7,8,3.5,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,87.0,1,0.8,êºñkêº,8,1025.0,8
504,504,2020-01-22,2,00:00:00,968,6.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,68,1,1.0,ìÏìÏìå,8,1027.5,8,7.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,84.0,1,3.6,ñk,8,1027.3,8,3.7,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,87.0,1,1.4,ñkñkìå,8,1027.7,8
672,672,2020-01-29,2,00:00:00,874,11.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,76,1,7.0,ñk,8,1014.1,8,9.5,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,85.0,1,2.6,êºñkêº,8,1013.6,8,8.4,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,90.0,1,0.6,ñkñkìå,8,1013.8,8
840,840,2020-02-05,2,00:00:00,951,6.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,73,1,1.1,êºìÏêº,8,1023.7,8,9.3,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,66.0,1,3.4,ñkêº,8,1022.6,8,3.4,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,80.0,1,0.7,ñk,8,1024.1,8
1008,1008,2020-02-12,2,00:00:00,876,10.4,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,54,1,1.6,ìÏìå,8,1026.6,8,12.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,75.0,1,1.6,ñkñkìå,8,1026.9,8,8.8,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,64.0,1,0.5,ñk,8,1027.3,8
1176,1176,2020-02-19,2,00:00:00,1071,2.7,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,76,1,1.8,ìÏìå,8,1028.1,8,2.9,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,83.0,1,3.1,ñkêº,8,1027.9,8,1.3,8,0.0,8,1,1,1,0.0,8,1,0.0,1.0,1,90.0,1,1.2,ñkñkìå,8,1028.9,8
1344,1344,2020-02-26,2,00:00:00,786,12.7,8,0.0,8,1,0,1,1.0,8,1,0.0,1.0,1,98,1,2.7,ñkñkêº,8,1015.8,8,19.0,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,87.0,1,2.4,êºñkêº,8,1014.6,8,16.4,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,97.0,1,4.0,ìÏêº,8,1014.3,8
1512,1512,2020-03-04,2,00:00:00,824,12.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,64,1,1.3,ñkêº,8,1019.4,8,14.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,90.0,1,1.2,ìåñkìå,8,1019.8,8,12.3,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,79.0,1,1.5,ìÏìÏêº,8,1019.6,8
1680,1680,2020-03-11,2,00:00:00,822,11.4,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,66,1,3.2,êº,8,1010.6,8,12.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,68.0,1,3.6,ñkêº,8,1010.8,8,10.9,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,73.0,1,3.8,êºìÏêº,8,1010.8,8
