,Unnamed: 0,date,type,pt_time,demand,fk_temp,fk_q_temp,fk_precipit,fk_ni_precipit,fk_q_precipit,fk_suntime,fk_ni_suntime,fk_q_suntime,fk_windspeed,fk_q_windspeed,fk_windroot,fk_q_windroot,fk_humidity,fk_q_humidity,fk_sunpower,fk_q_sunpower,fk_weather,fk_q_weather,fk_seaatom,fk_q_seaatom,kg_temp,kg_q_temp,kg_precipit,kg_ni_precipit,kg_q_precipit,kg_suntime,kg_ni_suntime,kg_q_suntime,kg_windspeed,kg_q_windspeed,kg_windroot,kg_q_windroot,kg_humidity,kg_q_humidity,kg_sunpower,kg_q_sunpower,kg_weather,kg_q_weather,kg_seaatom,kg_q_seaatom,km_temp,km_q_temp,km_precipit,km_ni_precipit,km_q_precipit,km_suntime,km_ni_suntime,km_q_suntime,km_windspeed,km_q_windspeed,km_windroot,km_q_windroot,km_humidity,km_q_humidity,km_sunpower,km_q_sunpower,km_weather,km_q_weather,km_seaatom,km_q_seaatom
191,191,2020-01-08,2,23:00:00,936,10.0,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,71,1,1.6,ìÏìÏêº,8,1018.9,8,10.5,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,60.0,1,3.8,ñkñkêº,8,1019.1,8,7.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,76.0,1,0.8,ìÏìÏêº,8,1019.7,8
359,359,2020-01-15,2,23:00:00,1073,4.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,75,1,0.8,ìåìÏìå,8,1025.4,8,7.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,64.0,1,2.5,ñkêº,8,1024.6,8,3.3,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,86.0,1,0.9,ñk,8,1025.2,8
527,527,2020-01-22,2,23:00:00,967,12.8,8,0.0,8,1,0,1,3.5,8,1,0.0,1.0,1,92,1,2.9,ìåìÏìå,8,1017.8,8,13.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,90.0,1,1.3,ñk,8,1021.3,8,9.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,100.0,1,2.0,ñkñkìå,8,1019.0,8
695,695,2020-01-29,2,23:00:00,941,8.4,8,0.0,8,1,0,1,0.5,8,1,0.0,1.0,1,90,1,1.7,ìÏêº,8,1011.6,8,9.8,8,0.0,8,1,0,1,0.5,8,1,0.0,1.0,1,86.0,1,4.4,êºñkêº,8,1010.8,8,8.9,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,78.0,1,0.6,ìåñkìå,8,1010.8,8
863,863,2020-02-05,2,23:00:00,1073,5.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,40,1,4.8,ñkêº,8,1028.5,8,5.7,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,67.0,1,2.9,ñkñkêº,8,1027.2,8,2.0,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,64.0,1,0.6,ñkêº,8,1028.9,8
1031,1031,2020-02-12,2,23:00:00,903,15.0,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,94,1,1.9,êºñkêº,8,1016.0,8,16.3,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,97.0,1,0.7,êº,8,1018.2,8,15.6,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,98.0,1,4.3,ìÏêº,8,1017.0,8
1199,1199,2020-02-19,2,23:00:00,1026,7.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,75,1,1.6,ìÏìå,8,1029.0,8,7.9,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,83.0,1,3.1,ñk,8,1028.3,8,4.7,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,78.0,1,1.1,ñk,8,1028.9,8
1367,1367,2020-02-26,2,23:00:00,863,10.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,77,1,1.7,ìÏêº,8,1022.4,8,12.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,67.0,1,2.7,ñkñkêº,8,1021.1,8,9.4,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,82.0,1,2.1,ñkñkìå,8,1022.2,8
1535,1535,2020-03-04,2,23:00:00,928,7.3,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,47,1,5.0,êº,8,1020.5,8,10.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,52.0,1,3.2,ñkêº,8,1020.2,8,8.5,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,45.0,1,3.6,ñkêº,8,1020.1,8
1703,1703,2020-03-11,2,23:00:00,941,7.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,65,1,1.4,ìÏìå,8,1021.0,8,7.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,69.0,1,2.4,ñkñkêº,8,1021.3,8,5.8,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,73.0,1,0.8,ñkñkìå,8,1021.7,8
