,Unnamed: 0,date,type,pt_time,demand,fk_temp,fk_q_temp,fk_precipit,fk_ni_precipit,fk_q_precipit,fk_suntime,fk_ni_suntime,fk_q_suntime,fk_windspeed,fk_q_windspeed,fk_windroot,fk_q_windroot,fk_humidity,fk_q_humidity,fk_sunpower,fk_q_sunpower,fk_weather,fk_q_weather,fk_seaatom,fk_q_seaatom,kg_temp,kg_q_temp,kg_precipit,kg_ni_precipit,kg_q_precipit,kg_suntime,kg_ni_suntime,kg_q_suntime,kg_windspeed,kg_q_windspeed,kg_windroot,kg_q_windroot,kg_humidity,kg_q_humidity,kg_sunpower,kg_q_sunpower,kg_weather,kg_q_weather,kg_seaatom,kg_q_seaatom,km_temp,km_q_temp,km_precipit,km_ni_precipit,km_q_precipit,km_suntime,km_ni_suntime,km_q_suntime,km_windspeed,km_q_windspeed,km_windroot,km_q_windroot,km_humidity,km_q_humidity,km_sunpower,km_q_sunpower,km_weather,km_q_weather,km_seaatom,km_q_seaatom
167,167,2020-01-07,1,23:00:00,875,18.0,8,0.0,8,1,0,1,1.0,8,1,0.0,1.0,1,84,1,5.7,ìÏìÏêº,8,1008.1,8,18.2,8,0.0,8,1,0,1,2.5,8,1,0.0,1.0,1,93.0,1,3.4,ìÏìÏêº,8,1013.4,8,16.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,88.0,1,4.9,ìÏìÏêº,8,1009.4,8
335,335,2020-01-14,1,23:00:00,1059,4.4,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,94,1,0.7,ìÏìå,8,1024.6,8,6.9,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,81.0,1,1.7,ñkñkêº,8,1023.4,8,4.5,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,85.0,1,0.6,ñkêº,8,1024.7,8
503,503,2020-01-21,1,23:00:00,1019,6.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,70,1,0.6,ìÏìÏìå,8,1027.6,8,7.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,82.0,1,3.4,ñk,8,1027.4,8,4.5,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,84.0,1,0.9,ñkñkìå,8,1027.9,8
671,671,2020-01-28,1,23:00:00,937,10.7,8,0.0,8,1,0,1,1.0,8,1,0.0,1.0,1,85,1,4.8,ñk,8,1014.7,8,9.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,82.0,1,2.8,ñkêº,8,1013.6,8,9.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,87.0,1,1.8,ñkñkìå,8,1013.9,8
839,839,2020-02-04,1,23:00:00,1010,6.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,68,1,0.9,êºìÏêº,8,1024.1,8,9.7,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,64.0,1,2.4,ñkñkêº,8,1023.0,8,3.6,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,79.0,1,1.4,ñkñkìå,8,1024.3,8
1175,1175,2020-02-18,1,23:00:00,1129,2.9,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,72,1,1.5,ìÏìå,8,1027.8,8,3.3,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,83.0,1,2.9,ñkñkêº,8,1027.7,8,1.6,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,89.0,1,2.1,ñkñkìå,8,1028.6,8
1343,1343,2020-02-25,1,23:00:00,844,12.7,8,0.0,8,1,0,1,1.0,8,1,0.0,1.0,1,97,1,3.1,ñkñkêº,8,1015.6,8,19.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,84.0,1,2.9,êº,8,1014.5,8,16.5,8,0.0,8,1,8,1,1.5,8,1,0.0,1.0,1,98.0,1,4.9,ìÏìÏêº,8,1013.8,8
1511,1511,2020-03-03,1,23:00:00,882,12.3,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,65,1,0.6,ñkêº,8,1019.5,8,14.0,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,90.0,1,1.5,êº,8,1020.6,8,12.8,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,76.0,1,1.1,ìÏ,8,1019.7,8
1679,1679,2020-03-10,1,23:00:00,882,11.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,64,1,4.5,êºñkêº,8,1010.0,8,12.4,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,68.0,1,4.1,ñkêº,8,1010.5,8,11.0,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,74.0,1,3.2,êºìÏêº,8,1010.6,8
1847,1847,2020-03-17,1,23:00:00,904,12.9,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,61,1,0.8,ìÏìÏêº,8,1017.2,8,10.7,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,81.0,1,1.8,ñkñkêº,8,1018.7,8,9.3,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,85.0,1,0.0,ê√â∏,8,1018.4,8
2015,2015,2020-03-24,1,23:00:00,820,10.9,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,37,1,2.2,ìÏìå,8,1021.7,8,13.4,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,75.0,1,1.1,ñkêº,8,1020.4,8,11.6,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,44.0,1,1.6,ñkñkêº,8,1021.1,8
2183,2183,2020-03-31,1,23:00:00,813,14.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,92,1,0.7,ìÏìÏìå,8,1012.2,8,17.3,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,83.0,1,1.9,êº,8,1011.3,8,14.8,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,98.0,1,1.1,ìÏìå,8,1011.7,8
2351,2351,2020-04-07,1,23:00:00,817,13.0,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,62,1,1.7,ìÏìå,8,1015.6,8,12.0,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,73.0,1,2.8,ñkñkêº,8,1016.0,8,11.0,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,78.0,1,0.4,ñkñkìå,8,1016.6,8
2519,2519,2020-04-14,1,23:00:00,815,11.8,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,51,1,1.2,ìåìÏìå,8,1016.7,8,14.0,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,72.0,1,1.4,ñkêº,8,1017.0,8,11.8,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,74.0,1,1.5,ñk,8,1017.0,8
