2024/7/31 15:51 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1848,14:00～15:00,7/31,15:49,15,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1606,14:00～15:00,7/31,15:49

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1581,18:00～19:00,7/31,15:49,5,95

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1508,18:00～19:00,7/31,15:49

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2024/7/31,0:00,997,1002,86,16,1157
2024/7/31,1:00,930,933,87,15,1074
2024/7/31,2:00,910,913,86,16,1054
2024/7/31,3:00,914,916,86,17,1068
2024/7/31,4:00,935,936,85,18,1103
2024/7/31,5:00,975,973,85,17,1145
2024/7/31,6:00,1003,1004,82,21,1217
2024/7/31,7:00,1094,1095,81,23,1347
2024/7/31,8:00,1261,1280,84,19,1506
2024/7/31,9:00,1415,1434,84,20,1691
2024/7/31,10:00,1483,1514,82,22,1808
2024/7/31,11:00,1551,1565,81,23,1910
2024/7/31,12:00,1536,1557,80,25,1926
2024/7/31,13:00,1565,1592,83,20,1876
2024/7/31,14:00,1577,1606,85,17,1848
2024/7/31,15:00,0,1595,0,0,1853
2024/7/31,16:00,0,1600,0,0,1837
2024/7/31,17:00,0,1571,0,0,1712
2024/7/31,18:00,0,1508,0,0,1581
2024/7/31,19:00,0,1436,0,0,1507
2024/7/31,20:00,0,1361,0,0,1500
2024/7/31,21:00,0,1271,0,0,1501
2024/7/31,22:00,0,1191,0,0,1439
2024/7/31,23:00,0,1113,0,0,1372

最大使用率(%),時間帯
87,1:00～2:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2024/7/31,0:00,1049,0
2024/7/31,0:05,1036,0
2024/7/31,0:10,1031,0
2024/7/31,0:15,1022,0
2024/7/31,0:20,1012,0
2024/7/31,0:25,1005,0
2024/7/31,0:30,999,0
2024/7/31,0:35,989,0
2024/7/31,0:40,980,0
2024/7/31,0:45,976,0
2024/7/31,0:50,966,0
2024/7/31,0:55,961,0
2024/7/31,1:00,955,0
2024/7/31,1:05,952,0
2024/7/31,1:10,946,0
2024/7/31,1:15,936,0
2024/7/31,1:20,935,0
2024/7/31,1:25,928,0
2024/7/31,1:30,932,0
2024/7/31,1:35,927,0
2024/7/31,1:40,921,0
2024/7/31,1:45,916,0
2024/7/31,1:50,922,0
2024/7/31,1:55,917,0
2024/7/31,2:00,912,0
2024/7/31,2:05,912,0
2024/7/31,2:10,912,0
2024/7/31,2:15,910,0
2024/7/31,2:20,910,0
2024/7/31,2:25,909,0
2024/7/31,2:30,910,0
2024/7/31,2:35,911,0
2024/7/31,2:40,918,0
2024/7/31,2:45,912,0
2024/7/31,2:50,916,0
2024/7/31,2:55,912,0
2024/7/31,3:00,909,0
2024/7/31,3:05,916,0
2024/7/31,3:10,914,0
2024/7/31,3:15,917,0
2024/7/31,3:20,921,0
2024/7/31,3:25,914,0
2024/7/31,3:30,910,0
2024/7/31,3:35,912,0
2024/7/31,3:40,912,0
2024/7/31,3:45,919,0
2024/7/31,3:50,925,0
2024/7/31,3:55,927,0
2024/7/31,4:00,927,0
2024/7/31,4:05,925,0
2024/7/31,4:10,920,0
2024/7/31,4:15,927,0
2024/7/31,4:20,924,0
2024/7/31,4:25,934,0
2024/7/31,4:30,936,0
2024/7/31,4:35,934,0
2024/7/31,4:40,948,0
2024/7/31,4:45,950,0
2024/7/31,4:50,952,0
2024/7/31,4:55,957,0
2024/7/31,5:00,961,0
2024/7/31,5:05,968,0
2024/7/31,5:10,971,0
2024/7/31,5:15,970,0
2024/7/31,5:20,970,0
2024/7/31,5:25,986,0
2024/7/31,5:30,967,0
2024/7/31,5:35,983,0
2024/7/31,5:40,988,0
2024/7/31,5:45,980,2
2024/7/31,5:50,971,4
2024/7/31,5:55,980,9
2024/7/31,6:00,976,14
2024/7/31,6:05,980,19
2024/7/31,6:10,991,25
2024/7/31,6:15,990,34
2024/7/31,6:20,1005,44
2024/7/31,6:25,1008,57
2024/7/31,6:30,1012,68
2024/7/31,6:35,1015,75
2024/7/31,6:40,1012,84
2024/7/31,6:45,1012,94
2024/7/31,6:50,1014,111
2024/7/31,6:55,1035,129
2024/7/31,7:00,1040,142
2024/7/31,7:05,1044,159
2024/7/31,7:10,1054,173
2024/7/31,7:15,1070,197
2024/7/31,7:20,1081,219
2024/7/31,7:25,1089,233
2024/7/31,7:30,1096,257
2024/7/31,7:35,1115,266
2024/7/31,7:40,1120,281
2024/7/31,7:45,1128,294
2024/7/31,7:50,1147,312
2024/7/31,7:55,1156,329
2024/7/31,8:00,1168,347
2024/7/31,8:05,1192,359
2024/7/31,8:10,1207,373
2024/7/31,8:15,1224,386
2024/7/31,8:20,1239,393
2024/7/31,8:25,1254,412
2024/7/31,8:30,1272,433
2024/7/31,8:35,1286,453
2024/7/31,8:40,1311,466
2024/7/31,8:45,1324,484
2024/7/31,8:50,1341,510
2024/7/31,8:55,1355,531
2024/7/31,9:00,1368,541
2024/7/31,9:05,1391,562
2024/7/31,9:10,1406,579
2024/7/31,9:15,1406,592
2024/7/31,9:20,1395,600
2024/7/31,9:25,1421,621
2024/7/31,9:30,1431,645
2024/7/31,9:35,1434,646
2024/7/31,9:40,1432,654
2024/7/31,9:45,1424,656
2024/7/31,9:50,1426,663
2024/7/31,9:55,1452,682
2024/7/31,10:00,1447,701
2024/7/31,10:05,1463,718
2024/7/31,10:10,1471,738
2024/7/31,10:15,1472,739
2024/7/31,10:20,1482,753
2024/7/31,10:25,1465,739
2024/7/31,10:30,1482,764
2024/7/31,10:35,1487,770
2024/7/31,10:40,1505,781
2024/7/31,10:45,1499,800
2024/7/31,10:50,1508,805
2024/7/31,10:55,1530,834
2024/7/31,11:00,1556,847
2024/7/31,11:05,1535,835
2024/7/31,11:10,1518,819
2024/7/31,11:15,1528,833
2024/7/31,11:20,1560,861
2024/7/31,11:25,1560,862
2024/7/31,11:30,1563,874
2024/7/31,11:35,1563,870
2024/7/31,11:40,1565,873
2024/7/31,11:45,1562,872
2024/7/31,11:50,1563,865
2024/7/31,11:55,1564,877
2024/7/31,12:00,1539,854
2024/7/31,12:05,1518,850
2024/7/31,12:10,1540,854
2024/7/31,12:15,1552,877
2024/7/31,12:20,1541,879
2024/7/31,12:25,1530,869
2024/7/31,12:30,1547,889
2024/7/31,12:35,1554,893
2024/7/31,12:40,1537,874
2024/7/31,12:45,1550,879
2024/7/31,12:50,1550,879
