2024/8/15 14:17 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1418,16:00～17:00,8/15,14:17,10,91

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1293,16:00～17:00,8/15,14:17

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1386,17:00～18:00,8/15,14:17,8,93

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1286,17:00～18:00,8/15,14:17

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2024/8/15,0:00,862,861,89,12,963
2024/8/15,1:00,808,797,87,15,932
2024/8/15,2:00,795,781,85,17,931
2024/8/15,3:00,808,792,86,17,941
2024/8/15,4:00,826,816,87,15,948
2024/8/15,5:00,857,844,90,11,950
2024/8/15,6:00,843,844,86,17,984
2024/8/15,7:00,906,890,81,24,1119
2024/8/15,8:00,995,995,79,27,1262
2024/8/15,9:00,1119,1112,82,22,1369
2024/8/15,10:00,1207,1193,81,24,1496
2024/8/15,11:00,1271,1259,82,22,1544
2024/8/15,12:00,1324,1284,86,16,1539
2024/8/15,13:00,1327,1298,87,14,1517
2024/8/15,14:00,0,1296,0,0,1506
2024/8/15,15:00,0,1293,0,0,1455
2024/8/15,16:00,0,1297,0,0,1418
2024/8/15,17:00,0,1288,0,0,1386
2024/8/15,18:00,0,1251,0,0,1352
2024/8/15,19:00,0,1207,0,0,1319
2024/8/15,20:00,0,1159,0,0,1267
2024/8/15,21:00,0,1099,0,0,1211
2024/8/15,22:00,0,1030,0,0,1136
2024/8/15,23:00,0,955,0,0,1055

最大使用率(%),時間帯
90,5:00～6:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2024/8/15,0:00,879,0
2024/8/15,0:05,887,0
2024/8/15,0:10,886,0
2024/8/15,0:15,875,0
2024/8/15,0:20,869,0
2024/8/15,0:25,862,0
2024/8/15,0:30,855,0
2024/8/15,0:35,857,0
2024/8/15,0:40,854,0
2024/8/15,0:45,849,0
2024/8/15,0:50,830,0
2024/8/15,0:55,841,0
2024/8/15,1:00,836,0
2024/8/15,1:05,830,0
2024/8/15,1:10,814,0
2024/8/15,1:15,816,0
2024/8/15,1:20,807,0
2024/8/15,1:25,813,0
2024/8/15,1:30,815,0
2024/8/15,1:35,813,0
2024/8/15,1:40,800,0
2024/8/15,1:45,798,0
2024/8/15,1:50,808,0
2024/8/15,1:55,800,0
2024/8/15,2:00,795,0
2024/8/15,2:05,797,0
2024/8/15,2:10,788,0
2024/8/15,2:15,795,0
2024/8/15,2:20,795,0
2024/8/15,2:25,789,0
2024/8/15,2:30,805,0
2024/8/15,2:35,796,0
2024/8/15,2:40,805,0
2024/8/15,2:45,810,0
2024/8/15,2:50,810,0
2024/8/15,2:55,810,0
2024/8/15,3:00,807,0
2024/8/15,3:05,809,0
2024/8/15,3:10,804,0
2024/8/15,3:15,807,0
2024/8/15,3:20,810,0
2024/8/15,3:25,814,0
2024/8/15,3:30,812,0
2024/8/15,3:35,812,0
2024/8/15,3:40,809,0
2024/8/15,3:45,808,0
2024/8/15,3:50,806,0
2024/8/15,3:55,821,0
2024/8/15,4:00,810,0
2024/8/15,4:05,817,0
2024/8/15,4:10,809,0
2024/8/15,4:15,822,0
2024/8/15,4:20,811,0
2024/8/15,4:25,823,0
2024/8/15,4:30,820,0
2024/8/15,4:35,821,0
2024/8/15,4:40,835,0
2024/8/15,4:45,850,0
2024/8/15,4:50,846,0
2024/8/15,4:55,852,0
2024/8/15,5:00,851,0
2024/8/15,5:05,866,0
2024/8/15,5:10,865,0
2024/8/15,5:15,859,0
2024/8/15,5:20,867,0
2024/8/15,5:25,853,0
2024/8/15,5:30,856,0
2024/8/15,5:35,862,0
2024/8/15,5:40,869,0
2024/8/15,5:45,862,0
2024/8/15,5:50,846,0
2024/8/15,5:55,845,1
2024/8/15,6:00,842,4
2024/8/15,6:05,846,6
2024/8/15,6:10,829,11
2024/8/15,6:15,837,18
2024/8/15,6:20,845,26
2024/8/15,6:25,849,35
2024/8/15,6:30,854,47
2024/8/15,6:35,856,57
2024/8/15,6:40,858,70
2024/8/15,6:45,854,82
2024/8/15,6:50,855,94
2024/8/15,6:55,867,108
2024/8/15,7:00,852,120
2024/8/15,7:05,872,146
2024/8/15,7:10,888,163
2024/8/15,7:15,896,188
2024/8/15,7:20,907,207
2024/8/15,7:25,908,228
2024/8/15,7:30,914,242
2024/8/15,7:35,917,251
2024/8/15,7:40,914,264
2024/8/15,7:45,911,282
2024/8/15,7:50,923,297
2024/8/15,7:55,933,317
2024/8/15,8:00,954,341
2024/8/15,8:05,964,356
2024/8/15,8:10,965,367
2024/8/15,8:15,969,378
2024/8/15,8:20,993,399
2024/8/15,8:25,991,414
2024/8/15,8:30,1001,430
2024/8/15,8:35,1010,447
2024/8/15,8:40,1026,469
2024/8/15,8:45,1039,485
2024/8/15,8:50,1054,502
2024/8/15,8:55,1066,515
2024/8/15,9:00,1064,535
2024/8/15,9:05,1099,556
2024/8/15,9:10,1093,566
2024/8/15,9:15,1093,574
2024/8/15,9:20,1105,593
2024/8/15,9:25,1119,617
2024/8/15,9:30,1139,644
2024/8/15,9:35,1153,660
2024/8/15,9:40,1150,666
2024/8/15,9:45,1139,669
2024/8/15,9:50,1142,677
2024/8/15,9:55,1166,691
2024/8/15,10:00,1181,714
2024/8/15,10:05,1188,729
2024/8/15,10:10,1185,721
2024/8/15,10:15,1198,736
2024/8/15,10:20,1208,750
2024/8/15,10:25,1225,763
2024/8/15,10:30,1222,766
2024/8/15,10:35,1218,759
2024/8/15,10:40,1235,775
2024/8/15,10:45,1230,776
2024/8/15,10:50,1218,771
2024/8/15,10:55,1234,781
2024/8/15,11:00,1236,790
2024/8/15,11:05,1267,799
2024/8/15,11:10,1266,806
2024/8/15,11:15,1263,800
2024/8/15,11:20,1255,791
2024/8/15,11:25,1262,793
2024/8/15,11:30,1271,801
2024/8/15,11:35,1270,813
2024/8/15,11:40,1272,809
2024/8/15,11:45,1304,835
2024/8/15,11:50,1322,844
2024/8/15,11:55,1330,839
2024/8/15,12:00,1334,843
2024/8/15,12:05,1323,826
2024/8/15,12:10,1315,816
2024/8/15,12:15,1329,829
2024/8/15,12:20,1320,836
2024/8/15,12:25,1327,831
2024/8/15,12:30,1324,838
2024/8/15,12:35,1323,826
2024/8/15,12:40,1336,824
2024/8/15,12:45,1350,817
2024/8/15,12:50,1348,808
2024/8/15,12:55,1357,821
2024/8/15,13:00,1369,817
2024/8/15,13:05,1347,784
2024/8/15,13:10,1344,775
2024/8/15,13:15,1335,771
2024/8/15,13:20,1338,767
2024/8/15,13:25,1339,752
2024/8/15,13:30,1325,736
2024/8/15,13:35,1312,707
2024/8/15,13:40,1327,706
2024/8/15,13:45,1324,698
2024/8/15,13:50,1322,698
2024/8/15,13:55,1327,682
2024/8/15,14:00,1335,669
2024/8/15,14:05,1346,665
2024/8/15,14:10,1339,646
2024/8/15,14:15,,
2024/8/15,14:20,,
2024/8/15,14:25,,
2024/8/15,14:30,,
2024/8/15,14:35,,
2024/8/15,14:40,,
2024/8/15,14:45,,
2024/8/15,14:50,,
2024/8/15,14:55,,
2024/8/15,15:00,,
2024/8/15,15:05,,
2024/8/15,15:10,,
2024/8/15,15:15,,
2024/8/15,15:20,,
2024/8/15,15:25,,
2024/8/15,15:30,,
2024/8/15,15:35,,
2024/8/15,15:40,,
2024/8/15,15:45,,
2024/8/15,15:50,,
2024/8/15,15:55,,
2024/8/15,16:00,,
2024/8/15,16:05,,
2024/8/15,16:10,,
2024/8/15,16:15,,
2024/8/15,16:20,,
2024/8/15,16:25,,
2024/8/15,16:30,,
2024/8/15,16:35,,
2024/8/15,16:40,,
2024/8/15,16:45,,
2024/8/15,16:50,,
2024/8/15,16:55,,
2024/8/15,17:00,,
2024/8/15,17:05,,
2024/8/15,17:10,,
2024/8/15,17:15,,
2024/8/15,17:20,,
2024/8/15,17:25,,
2024/8/15,17:30,,
2024/8/15,17:35,,
2024/8/15,17:40,,
2024/8/15,17:45,,
2024/8/15,17:50,,
2024/8/15,17:55,,
2024/8/15,18:00,,
2024/8/15,18:05,,
2024/8/15,18:10,,
2024/8/15,18:15,,
